City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,shihezi,24,CN,1525322931,23,44.3,86.03,66.72,11.14
88,lebu,0,ET,1525322797,87,8.96,38.73,61.68,2.53
89,yellowknife,64,CA,1525322749,60,62.45,-114.38,36.03,14.34
90,manitowoc,88,US,1525323150,80,44.09,-87.66,44.94,3.49
91,bredasdorp,0,ZA,1525322796,98,-34.53,20.04,59.43,10.65
92,gold coast,48,AU,1525323150,100,-28.0,153.41,71.58,5.28
93,durusu,20,TR,1525323151,84,37.53,40.83,68.88,4.54
94,esmeraldas,0,BR,1525323151,81,-19.76,-44.31,53.67,3.49
95,panguipulli,88,CL,1525323151,97,-39.64,-72.33,48.45,2.19
96,narsaq,20,GL,1525322759,64,60.91,-46.05,-1.68,4.99
97,diamantino,0,BR,1525323152,74,-14.4,-56.44,67.98,4.21
98,tromso,32,NO,1525323152,90,69.65,18.96,35.49,2.26
99,airai,56,TL,1525322781,71,-8.93,125.41,78.96,2.37
100,tasiilaq,48,GL,1525322807,91,65.61,-37.64,25.68,18.3
101,touros,68,BR,1525322751,100,-5.2,-35.46,74.91,5.39
102,katsuura,0,JP,1525322883,62,33.93,134.5,62.85,13.27
103,souillac,92,FR,1525322783,91,45.6,-0.6,50.7,12.37
104,alofi,88,NU,1525322856,100,-19.06,-169.92,76.71,2.04
105,samarai,0,PG,1525322930,98,-10.62,150.67,82.29,12.59
106,qaanaaq,0,GL,1525322766,60,77.48,-69.36,-7.89,4.21
107,mahebourg,92,MU,1525322818,72,-20.41,57.7,77.52,13.33
108,iqaluit,24,CA,1525322922,65,63.75,-68.52,2.91,10.36
109,fukue,68,JP,1525323154,93,35.03,136.69,63.75,15.12
110,arlit,0,NE,1525322804,20,18.74,7.39,66.81,3.71
111,kodiak,88,US,1525322744,99,39.95,-94.76,63.66,3.87
112,jamestown,92,AU,1525322516,97,-33.21,138.6,57.09,15.12
113,pangnirtung,56,CA,1525323155,87,66.15,-65.72,6.33,10.42
114,coquimbo,48,CL,1525322873,100,-29.95,-71.34,54.21,4.99
115,luanda,32,AO,1525323156,98,-8.83,13.24,79.77,4.38
116,lorengau,36,PG,1525322928,100,-2.02,147.27,83.1,4.5
117,tiksi,80,RU,1525322770,90,71.64,128.87,21.27,3.38
118,larkana,0,PK,1525323157,21,27.56,68.21,102.9,10.25
119,maunabo,100,PR,1525323157,100,18.01,-65.9,72.48,7.85
120,ust-tsilma,36,RU,1525322775,65,65.44,52.15,34.68,2.98
121,matara,0,PE,1525322890,99,-13.74,-72.9,35.58,1.97
122,usinsk,8,RU,1525322744,100,66.0,57.56,27.3,3.31
123,marsabit,20,KE,1525322744,81,2.34,37.99,75.54,10.36
124,smidovich,76,RU,1525323158,27,48.6,133.81,58.08,18.3
125,sioux lookout,0,CA,1525322901,86,50.1,-91.92,34.95,2.59
126,ormond beach,0,US,1525323159,92,29.29,-81.06,70.5,12.59
127,maragogi,44,BR,1525322844,100,-9.01,-35.22,72.66,3.98
128,atuona,68,PF,1525322750,100,-9.8,-139.03,79.23,9.91
129,tupik,24,RU,1525323160,34,54.43,119.94,62.13,8.12
130,butaritari,0,KI,1525322784,100,3.07,172.79,83.91,10.42
131,isangel,76,VU,1525322919,100,-19.55,169.27,73.83,12.82
132,lebedyn,0,UA,1525323161,55,50.58,34.48,71.58,4.76
133,hami,0,CN,1525322833,30,42.84,93.51,80.31,0.81
134,quatre cocos,92,MU,1525323163,72,-20.21,57.76,77.52,13.33
135,college,44,US,1525322784,62,64.86,-147.8,34.41,2.71
136,freeport,88,BS,1525323017,99,26.54,-78.7,75.81,19.53
137,albany,24,US,1525322688,62,42.65,-73.75,63.57,4.21
138,bonthe,100,SL,1525322828,86,7.53,-12.5,81.12,4.21
139,golden,0,CA,1525323165,80,51.3,-116.96,33.15,2.53
140,upernavik,88,GL,1525322752,100,72.79,-56.15,9.3,3.09
141,beroroha,56,MG,1525323165,57,-21.68,45.17,76.71,4.09
142,nanortalik,48,GL,1525322850,100,60.14,-45.24,24.6,19.15
143,sitka,100,US,1525322578,23,37.17,-99.65,74.64,17.63
144,marystown,92,CA,1525323166,96,47.17,-55.16,39.63,12.26
145,hasaki,56,JP,1525322738,83,35.73,140.83,67.71,30.11
146,ponta do sol,0,BR,1525322798,75,-20.63,-46.0,52.41,4.32
147,vuktyl,68,RU,1525323167,56,63.86,57.31,34.23,3.53
148,saint-pierre,0,FR,1525322789,79,48.95,4.24,45.3,10.31
149,casper,100,US,1525322875,100,42.87,-106.31,34.77,3.04
150,tomatlan,80,MX,1525323168,77,19.93,-105.25,74.82,1.86
151,boulsa,0,BF,1525323168,71,12.66,-0.57,78.15,7.0
152,kenai,88,US,1525322843,72,60.55,-151.26,36.3,6.06
153,kedrovoye,48,RU,1525323169,33,57.16,60.57,52.05,3.71
154,dikson,68,RU,1525322816,98,73.51,80.55,18.48,26.87
155,forrest city,36,US,1525323169,55,35.01,-90.79,78.42,15.12
156,ouadda,8,CF,1525323169,65,8.07,22.4,80.31,4.38
157,khatanga,0,RU,1525322740,99,71.98,102.47,13.53,5.55
158,komsomolskiy,0,RU,1525322872,88,67.55,63.78,10.02,7.34
159,mar del plata,8,AR,1525322752,68,-46.43,-67.52,51.87,23.4
160,sovetskiy,56,RU,1525323171,100,56.76,48.47,60.51,13.78
161,ribeira grande,12,PT,1525322797,100,38.52,-28.7,60.15,8.52
162,elizabeth city,0,US,1525323171,49,36.3,-76.22,65.37,12.88
163,naze,48,NG,1525322934,95,5.43,7.07,74.91,3.76
164,khurba,8,RU,1525323172,29,50.41,136.89,56.37,9.91
165,tuktoyaktuk,12,CA,1525322743,62,69.44,-133.03,4.53,7.4
166,port elizabeth,0,US,1525322751,44,39.31,-74.98,67.17,12.88
167,mathbaria,56,BD,1525323094,96,22.29,89.96,82.74,5.73
